,State,Occupied ICU Beds,Occupied Hospital Beds,Hospital Beds,ICU Beds,Admissions,Expected Daily ICU Admissions,Current Expected Surplus Beds,Current Expected Surplus/Deficit of ICU Beds
0,Andaman and Nicobar Islands,20.724521913220492,82.89808765288197,1294,65,8.0,2.0,1211.101912347118,44.27547808677951
1,Andhra Pradesh,4514.837098795084,18059.348395180336,83230,4162,1743.0,436.0,65170.651604819664,-352.8370987950839
2,Arunachal Pradesh,35.749800300305346,142.99920120122138,2624,131,14.0,3.0,2481.0007987987788,95.25019969969466
3,Assam,778.2057978414293,3112.8231913657173,24178,1209,300.0,75.0,21065.17680863428,430.79420215857067
4,Bihar,5246.412722331768,20985.650889327073,30857,1543,2025.0,506.0,9871.349110672927,-3703.4127223317682
5,Chandigarh,322.2663157505786,1289.0652630023144,5631,282,124.0,31.0,4341.934736997686,-40.2663157505786
6,Chhattisgarh,7886.716814076057,31546.867256304227,17430,872,3044.0,761.0,-14116.867256304227,-7014.716814076057
7,Dadra and Nagar Haveli and Daman and Diu,108.28562699657705,433.1425079863082,2191,110,42.0,10.0,1757.8574920136919,1.7143730034229492
8,Delhi,13105.151431824977,52420.60572729991,39455,1973,5059.0,1265.0,-12965.60572729991,-11132.151431824977
9,Goa,603.0835876747163,2412.3343506988654,4584,230,233.0,58.0,2171.6656493011346,-373.08358767471634
10,Gujarat,6139.63961679157,24558.55846716628,64862,3243,2370.0,592.0,40303.44153283372,-2896.63961679157
11,Haryana,4497.739368216677,17990.957472866707,36141,1807,1736.0,434.0,18150.042527133293,-2690.7393682166767
12,Himachal Pradesh,730.5393974410224,2922.1575897640896,18850,802,282.0,70.0,15927.84241023591,71.4606025589776
13,Jammu & Kashmir,911.8789641817017,3647.5158567268068,7995,400,352.0,88.0,4347.484143273194,-511.8789641817017
14,Jharkhand,2633.0505090746633,10532.202036298653,26496,1325,1016.0,254.0,15963.797963701347,-1308.0505090746633
15,Karnataka,11135.8037370212,44543.2149480848,262109,13105,4299.0,1075.0,217565.7850519152,1969.1962629787995
16,Kerala,10596.966167277467,42387.86466910987,99237,4961,4091.0,1023.0,56849.13533089013,-5635.966167277467
17,Ladakh,102.06827042261092,408.2730816904437,0,0,39.0,10.0,-408.2730816904437,-102.06827042261092
18,Lakshadweep,63.727904883153,254.911619532612,426,21,25.0,6.0,171.088380467388,-42.727904883153
19,Madhya Pradesh,6529.778741807946,26119.114967231784,64939,3247,2521.0,630.0,38819.885032768216,-3282.778741807946
20,Maharashtra,33906.354076124386,135625.41630449754,231739,11587,13088.0,3272.0,96113.58369550246,-22319.354076124386
21,Manipur,39.894704682949445,159.57881873179778,1790,89,15.0,4.0,1630.4211812682022,49.105295317050555
22,Meghalaya,68.90903536145814,275.63614144583255,5244,262,27.0,7.0,4968.363858554168,193.09096463854186
23,Mizoram,35.231687252474835,140.92674900989934,2496,125,14.0,3.0,2355.073250990101,89.76831274752516
24,Nagaland,28.496217630678178,113.98487052271271,2561,128,11.0,3.0,2447.0151294772872,99.50378236932183
25,Odisha,2460.5188641471027,9842.07545658841,25650,1283,950.0,237.0,15807.92454341159,-1177.5188641471027
26,Puducherry,368.37837700749424,1473.513508029977,5072,258,142.0,36.0,3598.486491970023,-110.37837700749424
27,Punjab,2645.485222222596,10581.940888890384,60997,3050,1021.0,255.0,50415.059111109615,404.5147777774041
28,Rajasthan,6510.608559038217,26042.43423615287,93176,4659,2513.0,628.0,67133.56576384713,-1851.6085590382172
29,Sikkim,38.340365539457906,153.36146215783162,1952,98,15.0,4.0,1798.6385378421683,59.659634460542094
30,Tamil Nadu,5928.767606324552,23715.070425298207,155375,7769,2289.0,572.0,131659.9295747018,1840.2323936754483
31,Telangana,3018.008503612734,12072.034014450936,99919,4996,1165.0,291.0,87846.96598554906,1977.9914963872661
32,Tripura,36.78602639596637,147.14410558386547,4667,233,14.0,4.0,4519.855894416134,196.21397360403364
33,Uttar Pradesh,16257.869327873645,65031.47731149458,281402,14070,6276.0,1569.0,216370.5226885054,-2187.8693278736446
34,Uttarakhand,1754.3307799541146,7017.3231198164585,23843,1193,677.0,169.0,16825.676880183542,-561.3307799541146
35,West Bengal,5180.094252209462,20720.377008837848,113535,5676,2000.0,500.0,92814.62299116215,495.90574779053804
