State,Cases
Andaman and Nicobar Islands,40
Andhra Pradesh,8714
Arunachal Pradesh,69
Assam,1502
Bihar,10126
Chandigarh,622
Chhattisgarh,15222
Dadra and Nagar Haveli and Daman and Diu,209
Delhi,25294
Goa,1164
Gujarat,11850
Haryana,8681
Himachal Pradesh,1410
Jammu & Kashmir,1760
Jharkhand,5082
Karnataka,21493
Kerala,20453
Ladakh,197
Lakshadweep,123
Madhya Pradesh,12603
Maharashtra,65442
Manipur,77
Meghalaya,133
Mizoram,68
Nagaland,55
Odisha,4749
Puducherry,711
Punjab,5106
Rajasthan,12566
Sikkim,74
Tamil Nadu,11443
Telangana,5825
Tripura,71
Uttar Pradesh,31379
Uttarakhand,3386
West Bengal,9998
